Author,Genre,Sentence
austen,romance,"[emma by jane austen 1816] volum i chapter i emma woodhouse, handsome, clever, and rich, with a comfort home and happi disposition, seem to unit some of the best bless of existence; and had live near twenty-on year in the world with veri littl to distress or vex her. she was the youngest of the two daughter of a most affectionate, indulg father; and had, in consequ of her sister marriage, been mistress of his hous from a veri earli period. her mother had die too long ago for her to have more than an indistinct remembr of her caresses; and her place had been suppli by an excel woman as governess, who had fallen littl short of a mother in affection. sixteen year had miss taylor been in mr. woodhous family, less as a gover than a friend, veri fond of both daughters, but particular of emma. between _them_"
austen,romance,"it was more the intimaci of sisters. even befor miss taylor had ceas to hold the nomin offic of governess, the mild of her temper had hard allow her to impos ani restraint; and the shadow of author be now long pass away, they had been live togeth as friend and friend veri mutual attached, and emma do just what she liked; high esteem miss taylor judgment, but direct chiefli by her own. the real evils, indeed, of emma situat were the power of have rather too much her own way, and a disposit to think a littl too well of herself; these were the disadvantag which threaten alloy to her mani enjoyments. the danger, however, was at present so unperceived, that they did not by ani mean rank as misfortun with her. sorrow came--a gentl sorrow--but not at all in the shape of ani disagre consciousness.--miss taylor married. it"
austen,romance,"was miss taylor loss which first brought grief. it was on the wedding-day of this belov friend that emma first sat in mourn thought of ani continuance. the wed over, and the bride-peopl gone, her father and herself were left to dine together, with no prospect of a third to cheer a long evening. her father compos himself to sleep after dinner, as usual, and she had then onli to sit and think of what she had lost. the event had everi promis of happi for her friend. mr. weston was a man of unexception character, easi fortune, suitabl age, and pleasant manners; and there was some satisfact in consid with what self-denying, generous friendship she had alway wish and promot the match; but it was a black morn work for her. the want of miss taylor would be felt everi hour of everi day. she recal her past kindness--th"
austen,romance,"kindness, the affect of sixteen years--how she had taught and how she had play with her from five year old--how she had devot all her power to attach and amus her in health--and how nurs her through the various ill of childhood. a larg debt of gratitud was owe here; but the intercours of the last seven years, the equal foot and perfect unreserv which had soon follow isabella marriage, on their be left to each other, was yet a dearer, tender recollection. she had been a friend and companion such as few possessed: intelligent, well-informed, useful, gentle, know all the way of the family, interest in all it concerns, and peculiar interest in herself, in everi pleasure, everi scheme of hers--on to whom she could speak everi thought as it arose, and who had such an affect for her as could never find fault. how was she to bear"
austen,romance,"the change?--it was true that her friend was go onli half a mile from them; but emma was awar that great must be the differ between a mrs. weston, onli half a mile from them, and a miss taylor in the house; and with all her advantages, natur and domestic, she was now in great danger of suffer from intellectu solitude. she dear love her father, but he was no companion for her. he could not meet her in conversation, ration or playful. the evil of the actual dispar in their age (and mr. woodhous had not marri early) was much increas by his constitut and habits; for have been a valetudinarian all his life, without activ of mind or body, he was a much older man in way than in years; and though everywher belov for the friendli of his heart and his amiabl temper, his talent could not"
austen,romance,"have recommend him at ani time. her sister, though compar but littl remov by matrimony, be settl in london, onli sixteen mile off, was much beyond her daili reach; and mani a long octob and novemb even must be struggl through at hartfield, befor christma brought the next visit from isabella and her husband, and their littl children, to fill the house, and give her pleasant societi again. highbury, the larg and popul village, almost amount to a town, to which hartfield, in spite of it separ lawn, and shrubberies, and name, did realli belong, afford her no equals. the woodhous were first in consequ there. all look up to them. she had mani acquaint in the place, for her father was univers civil, but not one among them who could be accept in lieu of miss taylor for even half a day. it was a melancholi change; and emma"
austen,romance,"could not but sigh over it, and wish for imposs things, till her father awoke, and made it necessari to be cheerful. his spirit requir support. he was a nervous man, easili depressed; fond of everi bodi that he was use to, and hate to part with them; hate chang of everi kind. matrimony, as the origin of change, was alway disagreeable; and he was by no mean yet reconcil to his own daughter marrying, nor could ever speak of her but with compassion, though it had been entir a match of affection, when he was now oblig to part with miss taylor too; and from his habit of gentl selfishness, and of be never abl to suppos that other peopl could feel differ from himself, he was veri much dispos to think miss taylor had done as sad a thing for herself as for them, and would have been"
austen,romance,"a great deal happier if she had spent all the rest of her life at hartfield. emma smile and chat as cheer as she could, to keep him from such thoughts; but when tea came, it was imposs for him not to say exact as he had said at dinner, ""poor miss taylor!--i wish she were here again. what a piti it is that mr. weston ever thought of her!"" ""i cannot agre with you, papa; you know i cannot. mr. weston is such a good-humoured, pleasant, excel man, that he thorough deserv a good wife;--and you would not have had miss taylor live with us for ever, and bear all my odd humours, when she might have a hous of her own?"" ""a hous of her own!--but where is the advantag of a hous of her own? this is three time as large.--and you have never ani odd humours,"
austen,romance,"my dear."" ""how often we shall be go to see them, and they come to see us!--w shall be alway meeting! _we_ must begin; we must go and pay wed visit veri soon."" ""mi dear, how am i to get so far? randal is such a distance. i could not walk half so far."" ""no, papa, nobodi thought of your walking. we must go in the carriage, to be sure."" ""the carriage! but jame will not like to put the hors to for such a littl way;--and where are the poor hors to be while we are pay our visit?"" ""they are to be put into mr. weston stable, papa. you know we have settl all that already. we talk it all over with mr. weston last night. and as for james, you may be veri sure he will alway like go to randalls, becaus of his daughter be housemaid"
austen,romance,"there. i onli doubt whether he will ever take us anywher else. that was your doing, papa. you got hannah that good place. nobodi thought of hannah till you mention her--jam is so oblig to you!"" ""i am veri glad i did think of her. it was veri lucky, for i would not have had poor jame think himself slight upon ani account; and i am sure she will make a veri good servant: she is a civil, pretty-spoken girl; i have a great opinion of her. whenev i see her, she alway curtsey and ask me how i do, in a veri pretti manner; and when you have had her here to do needlework, i observ she alway turn the lock of the door the right way and never bang it. i am sure she will be an excel servant; and it will be a great comfort to poor"
austen,romance,"miss taylor to have somebodi about her that she is use to see. whenev jame goe over to see his daughter, you know, she will be hear of us. he will be abl to tell her how we all are."" emma spare no exert to maintain this happier flow of ideas, and hoped, by the help of backgammon, to get her father toler through the evening, and be attack by no regret but her own. the backgammon-t was placed; but a visitor immedi afterward walk in and made it unnecessary. mr. knightley, a sensibl man about seven or eight-and-thirty, was not onli a veri old and intim friend of the family, but particular connect with it, as the elder brother of isabella husband. he live about a mile from highbury, was a frequent visitor, and alway welcome, and at this time more welcom than usual, as come direct from their"
